STIM,Base,Lexicality,affix,Source,FinalCut,correctans,FamilySize,BaseFreq,LogBF,SF,LogSF,BaseLength,SurfaceLeng,BG_Mean,BG_Freq_By_Pos,Stim.Type,NW.Type,Sublist,CB.Cond
AMAZEMENT,AMAZE,W,MENT,FORD,S,z,4,878,6.78,178,5.18,5,9,1602.38,1366,CritialWord,NA,1,AB
ENJOYMENT,ENJOY,W,MENT,FORD,S,z,4,2771,7.93,199,5.29,5,9,1608.5,1387,CritialWord,NA,1,AB
BOLDNESS,BOLD,W,NESS,RastleFiller,S,z,7,379,5.94,31,3.43,4,8,1541.43,2113,CritialWord,NA,1,AB
MILDNESS,MILD,W,NESS,FORD,S,z,4,676,6.52,14,2.64,4,8,,,CritialWord,NA,1,AB
DULLNESS,DULL,W,NESS,XuTaft,S,z,5,703,6.56,24,3.18,4,8,1627.86,2103,CritialWord,NA,1,AB
AWARENESS,AWARE,W,NESS,FORD,S,z,4,2391,7.78,428,6.06,5,9,2568.5,2820,CritialWord,NA,1,AB
RICHNESS,RICH,W,NESS,FORD,S,z,7,2868,7.96,88,4.48,4,8,2152.86,1809,CritialWord,NA,1,AB
STRANGENESS,STRANGE,W,NESS,FORD,S,z,4,2912,7.98,61,4.11,7,11,2912.7,3203,CritialWord,NA,1,AB
MOSSY,MOSS,W,Y,Graves,S,z,3,149,5.00,12,2.48,4,5,901.75,966,CritialWord,NA,1,AB
CHILLY,CHILL,W,Y,RastleFiller,S,z,7,488,6.19,92,4.52,5,6,1439.2,1403,CritialWord,NA,1,AB
BOSSY,BOSS,W,Y,Graves,S,z,6,551,6.31,32,3.47,4,5,851.75,879,CritialWord,NA,1,AB
RISKY,RISK,W,Y,RastleFiller,S,z,5,1827,7.51,98,4.58,4,5,1488,1093,CritialWord,NA,1,AB
PUNCHER,PUNCH,W,ER,RastleFiller,L,z,17,325,5.78,1,0.00,5,7,2179.67,2387,CritialWord,NA,1,AB
BARKER,BARK,W,ER,Graves,L,z,8,387,5.96,64,4.16,4,6,2214.4,3178,CritialWord,NA,1,AB
SPELLER,SPELL,W,ER,RastleFiller,L,z,10,781,6.66,1,0.00,5,7,2570.17,2519,CritialWord,NA,1,AB
KNOCKER,KNOCK,W,ER,RastleFiller,L,z,15,1104,7.01,24,3.18,5,7,1592.5,1714,CritialWord,NA,1,AB
SWIMMER,SWIM,W,ER,FORD,L,z,11,1145,7.04,40,3.69,4,7,1639.17,1580,CritialWord,NA,1,AB
COMPOSER,COMPOSE,W,ER,FORD,L,z,13,1187,7.08,112,4.72,7,8,2097.29,3803,CritialWord,NA,1,AB
BOMBER,BOMB,W,ER,Rastle,L,z,24,1208,7.10,50,3.91,4,6,1886.2,2546,CritialWord,NA,1,AB
LOCKER,LOCK,W,ER,RastleFiller,L,z,18,1654,7.41,89,4.49,4,6,2024,2504,CritialWord,NA,1,AB
RENTER,RENT,W,ER,RastleFiller,L,z,13,1690,7.43,2,0.69,4,6,,,CritialWord,NA,1,AB
HUNTER,HUNT,W,ER,FORD,L,z,18,1762,7.47,199,5.29,4,6,3144.2,2865,CritialWord,NA,1,AB
DANCER,DANCE,W,ER,FORD,L,z,16,2003,7.60,108,4.68,5,6,2641.8,2757,CritialWord,NA,1,AB
DREAMER,DREAM,W,ER,Rastle,L,z,19,2325,7.75,27,3.30,5,7,2600.17,2592,CritialWord,NA,1,AB
PUSHER,PUSH,W,ER,RastleFiller,L,z,17,2507,7.83,8,2.08,4,6,,,CritialWord,NA,1,AB
FEEDER,FEED,W,ER,FORD,L,z,11,2806,7.94,19,2.94,4,6,2937.8,2250,CritialWord,NA,1,AB
CLEANER,CLEAN,W,ER,XuTaft,L,z,29,2854,7.96,165,5.11,5,7,2955,2519,CritialWord,NA,1,AB
HEATER,HEAT,W,ER,FORD,L,z,15,2881,7.97,48,3.87,4,6,3660.4,3404,CritialWord,NA,1,AB
STRIKER,STRIKE,W,ER,Graves,L,z,17,3414,8.14,8,2.08,6,7,2546.17,2458,CritialWord,NA,1,AB
PAINTER,PAINT,W,ER,RastleFiller,L,z,17,3666,8.21,325,5.78,5,7,3747.83,3120,CritialWord,NA,1,AB
SHAMEFUL,SHAME,W,FUL,FORD,L,z,13,993,6.90,94,4.54,5,8,1002.43,1491,CritialWord,NA,1,AB
FAITHFUL,FAITH,W,FUL,FORD,L,z,12,1320,7.19,229,5.43,5,8,902,1314,CritialWord,NA,1,AB
DOUBTFUL,DOUBT,W,FUL,FORD,L,z,8,4135,8.33,241,5.48,5,8,600.43,1030,CritialWord,NA,1,AB
FLEXIBLE,FLEX,W,IBLE,RastleFiller,L,z,16,664,6.50,215,5.37,4,8,1375.43,1061,CritialWord,NA,1,AB
KICKING,KICK,W,ING,RastleFiller,L,z,15,1012,6.92,231,5.44,4,7,2483.33,2690,CritialWord,NA,1,AB
COOLING,COOL,W,ING,RastleFiller,L,z,14,1434,7.27,102,4.62,4,7,3043.17,4636,CritialWord,NA,1,AB
PARKING,PARK,W,ING,RastleFiller,L,z,9,1945,7.57,249,5.52,4,7,2595.5,3656,CritialWord,NA,1,AB
GUARDING,GUARD,W,ING,RastleFiller,L,z,28,2047,7.62,82,4.41,5,8,2442.57,2734,CritialWord,NA,1,AB
LAUGHING,LAUGH,W,ING,RastleFiller,L,z,18,4181,8.34,740,6.61,5,8,2168.43,2579,CritialWord,NA,1,AB
DAMPISH,DAMP,W,ISH,FORD,L,z,11,621,6.43,4,1.39,4,7,,,CritialWord,NA,1,AB
STYLISH,STYLE,W,ISH,XuTaft,L,z,16,2119,7.66,39,3.66,5,7,1860.5,1719,CritialWord,NA,1,AB
JUMPING,JUMP,W,JUMPING,RastleFiller,L,z,15,1395,7.24,296,5.69,4,7,2220.5,2709,CritialWord,NA,1,AB
GUILELESS,GUILE,W,LESS,Graves,L,z,9,61,4.11,7,1.95,5,9,2108.88,2493,CritialWord,NA,1,AB
BOOTLESS,BOOT,W,LESS,Graves,L,z,19,940,6.85,1,0.00,4,8,1784.43,2864,CritialWord,NA,1,AB
CLOUDLESS,CLOUD,W,LESS,RastleFiller,L,z,14,1181,7.07,24,3.18,5,9,1733.5,2148,CritialWord,NA,1,AB
BONELESS,BONE,W,LESS,Graves,L,z,35,1490,7.31,6,1.79,4,8,2693.57,3751,CritialWord,NA,1,AB
SHAPELY,SHAPE,W,LY,XuTaft,L,z,12,1909,7.55,43,3.76,5,7,1375.67,1684,CritialWord,NA,1,AB
QUIETLY,QUIET,W,LY,Rastle,L,z,18,2691,7.90,973,6.88,5,7,924.83,835,CritialWord,NA,1,AB
WRONGLY,WRONG,W,LY,FORD,L,z,12,3532,8.17,101,4.62,5,7,2127.83,1376,CritialWord,NA,1,AB
EXCITEMENT,EXCITE,W,MENT,FORD,L,z,9,1924,7.56,648,6.473890696,6,10,1980.78,2472,CritialWord,NA,1,AB
DEAFNESS,DEAF,W,NESS,FORD,L,z,9,290,5.67,35,3.56,4,8,,,CritialWord,NA,1,AB
BLINDNESS,BLIND,W,NESS,FORD,L,z,16,1024,6.93,76,4.33,5,9,2623,2287,CritialWord,NA,1,AB
MADNESS,MAD,W,NESS,FORD,L,z,10,1298,7.17,222,5.40,3,7,1855,2122,CritialWord,NA,1,AB
DRYNESS,DRY,W,NESS,XuTaft,L,z,19,2366,7.77,20,3.00,3,7,1576.67,1533,CritialWord,NA,1,AB
SAILOR,SAIL,W,OR,RastleFiller,L,z,17,740,6.61,99,4.60,4,6,1462,1540,CritialWord,NA,1,AB
CONDUCTOR,CONDUCT,W,OR,RastleFiller,L,z,16,1084,6.99,113,4.73,7,9,1862.88,3953,CritialWord,NA,1,AB
EDITOR,EDIT,W,OR,RastleFiller,L,z,12,1298,7.17,463,6.14,4,6,2531.8,970,CritialWord,NA,1,AB
COLLECTOR,COLLECT,W,OR,XuTaft,L,z,23,3221,8.08,122,4.80,7,9,1920.63,4015,CritialWord,NA,1,AB
PROFESSOR,PROFESS,W,PR,RastleFiller,L,z,14,3563,8.18,1260,7.14,7,9,1731.75,3034,CritialWord,NA,1,AB
WEEDY,WEED,W,Y,Graves,L,z,17,729,6.59,20,3.00,4,5,,,CritialWord,NA,1,AB
CREAMY,CREAM,W,Y,RastleFiller,L,z,10,792,6.67,73,4.29,5,6,1639.6,1634,CritialWord,NA,1,AB
VERBAL,VERB,W,AL,RastleFiller,L,z,22,423,6.05,210,5.35,4,6,2435.2,1304,CritialWord,NA,1,AB
meltance,melt,NW,ance,Crepaldi,S,m,5,429,6.06,NA,NA,4,8,NA,NA,CriticalNW,Complex,1,AB
happenance,happen,NW,ance,Crepaldi,S,m,3,6982,8.85,NA,NA,6,10,NA,NA,CriticalNW,Complex,1,AB
lidary,lid,NW,ary,Crepaldi,S,m,3,523,6.26,NA,NA,3,6,NA,NA,CriticalNW,Complex,1,AB
figer,fig,NW,er,Crepaldi,S,m,3,196,5.28,NA,NA,3,5,NA,NA,CriticalNW,Complex,1,AB
beerer,beer,NW,er,Crepaldi,S,m,2,853,6.75,NA,NA,4,6,NA,NA,CriticalNW,Complex,1,AB
fanful,fan,NW,ful,Crepaldi,S,m,4,473,6.16,NA,NA,3,6,NA,NA,CriticalNW,Complex,1,AB
altaric,altar,NW,ic,Crepaldi,S,m,2,403,6.00,NA,NA,5,7,NA,NA,CriticalNW,Complex,1,AB
antism,ant,NW,ish,Crepaldi,S,m,1,206,5.33,NA,NA,3,6,NA,NA,CriticalNW,Complex,1,AB
