SubjID,ART_correct,vocab_correct,spell_correct,z_ART,z_vocab,z_spell,Dim.1,Dim.2,lang_type
S146,46,39,74,0.5594515406354331,-0.3099465886365808,1.4889466299809435,0.8403752480860736,1.2822267021740623,Orthographic
S147,38,37,75,-0.9813330302949399,-0.6555507494171936,1.64476662614174,0.7050996680756372,1.6396350444210235,Orthographic
S150,40,46,61,-0.5961368875623466,0.8996679740955639,-0.5367133201094095,0.2587091574991076,-1.0238331163137973,Semantic
S152,42,43,62,-0.2109407448297534,0.3812617329246447,-0.3808933239486132,2.6259692432184663e-4,-0.5432537935024871,Semantic
S153,39,49,74,-0.7887349589286433,1.4180742152664831,1.4889466299809435,2.0720850537295674,0.0505168965305716,Orthographic
S154,56,44,76,2.4854322542983995,0.5540638133149511,1.8005866223025364,1.6783629131443452,0.8885045615888425,Orthographic
S155,39,41,58,-0.7887349589286433,0.035657572144031965,-1.0041733085917988,-0.6903448886774268,-0.74117735684684,Semantic
S156,45,34,63,0.36685346926913653,-1.1739569905881126,-0.22507332778781677,-0.9972098470365602,0.6763514126949174,Orthographic
S157,38,37,60,-0.9813330302949399,-0.6555507494171936,-0.692533316270206,-0.9608960486982995,-0.026360672352918297,Orthographic
S158,41,33,54,-0.40353881619605003,-1.3467590709784192,-1.6274532932349843,-2.1199782576652715,-0.20007503680509878,Semantic
S159,38,47,64,-0.9813330302949399,1.0724700544858703,-0.06925333162702038,0.7150792814182441,-0.813804953523358,Semantic
S160,52,40,61,1.715039968833213,-0.13714450824627442,-0.5367133201094095,-0.4803167258869888,-0.28480723292770266,Semantic
S166,40,33,54,-0.5961368875623466,-1.3467590709784192,-1.6274532932349843,-2.1199782576652715,-0.20007503680509878,Semantic
S167,41,41,57,-0.40353881619605003,0.035657572144031965,-1.1599933047525952,-0.8014112697956892,-0.852243737965103,Semantic
S168,44,44,66,0.1742553979028399,0.5540638133149511,0.24238666069457243,0.5676991019617209,-0.22215924959378505,Semantic
S169,43,42,66,-0.018342673463456756,0.20845965253433835,0.24238666069457243,0.3213571408330221,0.02418271153491302,Orthographic
S170,43,48,63,-0.018342673463456756,1.2452721348761766,-0.22507332778781677,0.7271838808643311,-1.0480423152059697,Semantic
S171,37,40,62,-1.1739311016612366,-0.13714450824627442,-0.3808933239486132,-0.36925034476872637,-0.17374085180943993,Semantic
S172,44,46,55,0.1742553979028399,0.8996679740955639,-1.4716332970741879,-0.40768912921046674,-1.6902314030233734,Semantic
