STIM,Base,Lexicality,affix,Source,FinalCut,correctans,FamilySize,BaseFreq,LogBF,SF,LogSF,BaseLength,SurfaceLeng,BG_Mean,BG_Freq_By_Pos,Stim.Type,NW.Type,Sublist,CB.Cond
SHAPELY,SHAPE,W,LY,XuTaft,L,z,12,1909,7.55,43,3.76,5,7,1375.67,1684,CritialWord,NA,2,BA
QUIETLY,QUIET,W,LY,Rastle,L,z,18,2691,7.90,973,6.88,5,7,924.83,835,CritialWord,NA,2,BA
WRONGLY,WRONG,W,LY,FORD,L,z,12,3532,8.17,101,4.62,5,7,2127.83,1376,CritialWord,NA,2,BA
EXCITEMENT,EXCITE,W,MENT,FORD,L,z,9,1924,7.56,648,6.473890696,6,10,1980.78,2472,CritialWord,NA,2,BA
DEAFNESS,DEAF,W,NESS,FORD,L,z,9,290,5.67,35,3.56,4,8,,,CritialWord,NA,2,BA
BLINDNESS,BLIND,W,NESS,FORD,L,z,16,1024,6.93,76,4.33,5,9,2623,2287,CritialWord,NA,2,BA
MADNESS,MAD,W,NESS,FORD,L,z,10,1298,7.17,222,5.40,3,7,1855,2122,CritialWord,NA,2,BA
DRYNESS,DRY,W,NESS,XuTaft,L,z,19,2366,7.77,20,3.00,3,7,1576.67,1533,CritialWord,NA,2,BA
SAILOR,SAIL,W,OR,RastleFiller,L,z,17,740,6.61,99,4.60,4,6,1462,1540,CritialWord,NA,2,BA
CONDUCTOR,CONDUCT,W,OR,RastleFiller,L,z,16,1084,6.99,113,4.73,7,9,1862.88,3953,CritialWord,NA,2,BA
EDITOR,EDIT,W,OR,RastleFiller,L,z,12,1298,7.17,463,6.14,4,6,2531.8,970,CritialWord,NA,2,BA
COLLECTOR,COLLECT,W,OR,XuTaft,L,z,23,3221,8.08,122,4.80,7,9,1920.63,4015,CritialWord,NA,2,BA
PROFESSOR,PROFESS,W,PR,RastleFiller,L,z,14,3563,8.18,1260,7.14,7,9,1731.75,3034,CritialWord,NA,2,BA
WEEDY,WEED,W,Y,Graves,L,z,17,729,6.59,20,3.00,4,5,,,CritialWord,NA,2,BA
CREAMY,CREAM,W,Y,RastleFiller,L,z,10,792,6.67,73,4.29,5,6,1639.6,1634,CritialWord,NA,2,BA
VERBAL,VERB,W,AL,RastleFiller,L,z,22,423,6.05,210,5.35,4,6,2435.2,1304,CritialWord,NA,2,BA
meltange,melt,NW,ance,Crepaldi,S,m,5,429,6.06,NA,NA,4,8,NA,NA,CriticalNW,Simple,2,BA
happenange,happen,NW,ance,Crepaldi,S,m,3,6982,8.85,NA,NA,6,10,NA,NA,CriticalNW,Simple,2,BA
lidady,lid,NW,ary,Crepaldi,S,m,3,523,6.26,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
figel,fig,NW,er,Crepaldi,S,m,3,196,5.28,NA,NA,3,5,NA,NA,CriticalNW,Simple,2,BA
beerel,beer,NW,er,Crepaldi,S,m,2,853,6.75,NA,NA,4,6,NA,NA,CriticalNW,Simple,2,BA
fanfil,fan,NW,ful,Crepaldi,S,m,4,473,6.16,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
altarig,altar,NW,ic,Crepaldi,S,m,2,403,6.00,NA,NA,5,7,NA,NA,CriticalNW,Simple,2,BA
antilm,ant,NW,ish,Crepaldi,S,m,1,206,5.33,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
aridilm,arid,NW,ish,Crepaldi,S,m,3,100,4.61,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
elmilt,elm,NW,ist,Crepaldi,S,m,2,175,5.16,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
curtidy,curt,NW,ity,Crepaldi,S,m,3,88,4.48,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
dumbidy,dumb,NW,ity,Crepaldi,S,m,6,244,5.50,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
pillime,pill,NW,ize,Crepaldi,S,m,5,537,6.29,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
treasonime,treason,NW,ize,Crepaldi,S,m,4,138,4.93,NA,NA,7,10,NA,NA,CriticalNW,Simple,2,BA
TRUEnels,TRUE,NW,ness,Crepaldi,S,m,6,6,1.79,NA,NA,4,8,NA,NA,CriticalNW,Simple,2,BA
branchel,branch,NW,er,Graves,S,m,3,1692,7.43,NA,NA,6,8,NA,NA,CriticalNW,Simple,2,BA
princemant,prince,NW,ment,Graves,S,m,4,910,6.81,NA,NA,6,10,NA,NA,CriticalNW,Simple,2,BA
heightenge,height,NW,ence,Rastle,S,m,2,912,6.82,NA,NA,6,10,NA,NA,CriticalNW,Simple,2,BA
adoptish,adopt,NW,ish,Rastle,S,m,4,1205,7.09,NA,NA,5,8,NA,NA,CriticalNW,Simple,2,BA
ejectenge,eject,NW,ence,RastleFiller,S,m,5,66,4.19,NA,NA,5,9,NA,NA,CriticalNW,Simple,2,BA
weldig,weld,NW,ic,RastleFiller,S,m,3,129,4.86,NA,NA,4,6,NA,NA,CriticalNW,Simple,2,BA
debtith,debt,NW,ish,RastleFiller,S,m,4,656,6.49,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
yankody,yank,NW,ory,RastleFiller,S,m,2,51,3.93,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
fiendilm,fiend,NW,ism,XuTaft,S,m,4,53,3.97,NA,NA,5,8,NA,NA,CriticalNW,Simple,2,BA
humidoes,humid,NW,ous,XuTaft,S,m,4,92,4.52,NA,NA,5,8,NA,NA,CriticalNW,Simple,2,BA
stirange,stir,NW,ance,Crepaldi,L,m,12,841,6.73,NA,NA,4,8,NA,NA,CriticalNW,Simple,2,BA
tripady,trip,NW,ary,Crepaldi,L,m,9,1382,7.23,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
flitenge,flit,NW,ence,Crepaldi,L,m,11,599,6.40,NA,NA,4,8,NA,NA,CriticalNW,Simple,2,BA
ripenge,rip,NW,ence,Crepaldi,L,m,8,471,6.15,NA,NA,3,7,NA,NA,CriticalNW,Simple,2,BA
sheetel,sheet,NW,er,Crepaldi,L,m,14,1009,6.92,NA,NA,5,7,NA,NA,CriticalNW,Simple,2,BA
gasfil,gas,NW,ful,Crepaldi,L,m,33,1501,7.31,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
angelith,angel,NW,ish,Crepaldi,L,m,17,652,6.48,NA,NA,5,8,NA,NA,CriticalNW,Simple,2,BA
inkilm,ink,NW,ish,Crepaldi,L,m,12,290,5.67,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
illilt,ill,NW,ist,Crepaldi,L,m,27,2375,7.77,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
coldidy,cold,NW,ity,Crepaldi,L,m,14,3585,8.18,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
mouthime,mouth,NW,ize,Crepaldi,L,m,18,2866,7.96,NA,NA,5,8,NA,NA,CriticalNW,Simple,2,BA
mudla,mud,NW,ly,Crepaldi,L,m,16,912,6.82,NA,NA,3,5,NA,NA,CriticalNW,Simple,2,BA
addmant,add,NW,ment,Crepaldi,L,m,10,5883,8.68,NA,NA,3,7,NA,NA,CriticalNW,Simple,2,BA
passmant,pass,NW,ment,Crepaldi,L,m,43,10035,9.21,NA,NA,4,8,NA,NA,CriticalNW,Simple,2,BA
freenels,free,NW,ness,Crepaldi,L,m,88,7277,8.89,NA,NA,4,8,NA,NA,CriticalNW,Simple,2,BA
flipody,flip,NW,ory,Crepaldi,L,m,10,184,5.21,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
fellowoes,fellow,NW,ous,Crepaldi,L,m,11,1324,7.19,NA,NA,6,9,NA,NA,CriticalNW,Simple,2,BA
boil,boil,NW,ous,Graves,L,m,13,1102,7.00,NA,NA,4,4,NA,NA,CriticalNW,Simple,2,BA
kingilm,king,NW,ish,Rastle,L,m,11,2275,7.73,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
ime,north,NW,ize,Rastle,L,m,30,2541,7.84,NA,NA,5,3,NA,NA,CriticalNW,Simple,2,BA
employnels,employ,NW,ness,Rastle,L,m,12,4622,8.44,NA,NA,6,10,NA,NA,CriticalNW,Simple,2,BA
bindig,bind,NW,ic,RastleFiller,L,m,14,451,6.11,NA,NA,4,6,NA,NA,CriticalNW,Simple,2,BA
breakidy,break,NW,ity,RastleFiller,L,m,43,6366,8.76,NA,NA,5,8,NA,NA,CriticalNW,Simple,2,BA
agreela,agree,NW,ly,RastleFiller,L,m,9,4745,8.46,NA,NA,5,7,NA,NA,CriticalNW,Simple,2,BA
pitchody,pitch,NW,ory,RastleFiller,L,m,10,610,6.41,NA,NA,5,8,NA,NA,CriticalNW,Simple,2,BA
socketer,socket,NW,er,Crepaldi,S,m,1,143,4.96,NA,NA,6,8,NA,NA,CriticalNW,Complex,2,BA
gumful,gum,NW,ful,Crepaldi,S,m,2,57,4.04,NA,NA,3,6,NA,NA,CriticalNW,Complex,2,BA
heiric,heir,NW,ic,Crepaldi,S,m,3,211,5.35,NA,NA,4,6,NA,NA,CriticalNW,Complex,2,BA
aidic,aid,NW,ic,Crepaldi,S,m,4,1159,7.06,NA,NA,3,5,NA,NA,CriticalNW,Complex,2,BA
urnist,urn,NW,ist,Crepaldi,S,m,2,68,4.22,NA,NA,3,6,NA,NA,CriticalNW,Complex,2,BA
rampize,ramp,NW,ize,Crepaldi,S,m,1,95,4.55,NA,NA,4,7,NA,NA,CriticalNW,Complex,2,BA
jawly,jaw,NW,ly,Crepaldi,S,m,7,414,6.03,NA,NA,3,5,NA,NA,CriticalNW,Complex,2,BA
opposement,oppose,NW,ment,Crepaldi,S,m,1,994,6.90,NA,NA,6,10,NA,NA,CriticalNW,Complex,2,BA
nextness,next,NW,ness,Crepaldi,S,m,4,7415,8.91,NA,NA,4,8,NA,NA,CriticalNW,Complex,2,BA
baskory,bask,NW,ory,Crepaldi,S,m,1,68,4.22,NA,NA,4,7,NA,NA,CriticalNW,Complex,2,BA
digory,dig,NW,ory,Crepaldi,S,m,3,777,6.66,NA,NA,3,6,NA,NA,CriticalNW,Complex,2,BA
warnory,warn,NW,ory,Crepaldi,S,m,5,1697,7.44,NA,NA,4,7,NA,NA,CriticalNW,Complex,2,BA
boltous,bolt,NW,ous,Crepaldi,S,m,6,348,5.85,NA,NA,4,7,NA,NA,CriticalNW,Complex,2,BA
helmetous,helmet,NW,ous,Crepaldi,S,m,6,242,5.49,NA,NA,6,9,NA,NA,CriticalNW,Complex,2,BA
schemeness,scheme,NW,ness,Graves,S,m,3,1619,7.39,NA,NA,6,10,NA,NA,CriticalNW,Complex,2,BA
acrement,acre,NW,ment,Rastle,S,m,3,708,6.56,NA,NA,4,8,NA,NA,CriticalNW,Complex,2,BA
tiltary,tilt,NW,ary,RastleFiller,S,m,3,328,5.79,NA,NA,4,7,NA,NA,CriticalNW,Complex,2,BA
medicalary,medical,NW,ary,RastleFiller,S,m,3,1323,7.19,NA,NA,7,10,NA,NA,CriticalNW,Complex,2,BA
zoomful,zoom,NW,ful,RastleFiller,S,m,2,34,3.53,NA,NA,4,7,NA,NA,CriticalNW,Complex,2,BA
yieldist,yield,NW,ist,RastleFiller,S,m,4,613,6.42,NA,NA,5,8,NA,NA,CriticalNW,Complex,2,BA
winkity,wink,NW,ity,RastleFiller,S,m,4,216,5.38,NA,NA,4,7,NA,NA,CriticalNW,Complex,2,BA
thrillance,thrill,NW,ance,XuTaft,S,m,4,307,5.73,NA,NA,6,10,NA,NA,CriticalNW,Complex,2,BA
nullish,null,NW,ish,XuTaft,S,m,4,45,3.81,NA,NA,4,7,NA,NA,CriticalNW,Complex,2,BA
feverize,fever,NW,ize,XuTaft,S,m,4,594,6.39,NA,NA,5,8,NA,NA,CriticalNW,Complex,2,BA
advertisely,advertise,NW,ly,XuTaft,S,m,4,4.76,1.56,NA,NA,9,11,NA,NA,CriticalNW,Complex,2,BA
prayance,pray,NW,ance,Crepaldi,L,m,9,1055,6.96,NA,NA,4,8,NA,NA,CriticalNW,Complex,2,BA
bogary,bog,NW,ary,Crepaldi,L,m,12,259,5.56,NA,NA,3,6,NA,NA,CriticalNW,Complex,2,BA
bandary,band,NW,ary,Crepaldi,L,m,26,981,6.89,NA,NA,4,7,NA,NA,CriticalNW,Complex,2,BA
begence,beg,NW,ence,Crepaldi,L,m,8,604,6.40,NA,NA,3,7,NA,NA,CriticalNW,Complex,2,BA
pickence,pick,NW,ence,Crepaldi,L,m,20,3385,8.13,NA,NA,4,8,NA,NA,CriticalNW,Complex,2,BA
taxful,tax,NW,ful,Crepaldi,L,m,14,2763,7.92,NA,NA,3,6,NA,NA,CriticalNW,Complex,2,BA
habitic,habit,NW,ic,Crepaldi,L,m,16,2066,7.63,NA,NA,5,7,NA,NA,CriticalNW,Complex,2,BA
beanish,bean,NW,ish,Crepaldi,L,m,9,425,6.05,NA,NA,4,7,NA,NA,CriticalNW,Complex,2,BA
wigish,wig,NW,ish,Crepaldi,L,m,8,262,5.57,NA,NA,3,6,NA,NA,CriticalNW,Complex,2,BA
elbowism,elbow,NW,ish,Crepaldi,L,m,18,1756,7.47,NA,NA,5,8,NA,NA,CriticalNW,Complex,2,BA
witchish,witch,NW,ish,Crepaldi,L,m,11,890,6.79,NA,NA,5,8,NA,NA,CriticalNW,Complex,2,BA
earist,ear,NW,ist,Crepaldi,L,m,16,1711,2.77,NA,NA,3,6,NA,NA,CriticalNW,Complex,2,BA
poority,poor,NW,ity,Crepaldi,L,m,11,4350,8.38,NA,NA,4,7,NA,NA,CriticalNW,Complex,2,BA
nutly,nut,NW,ly,Crepaldi,L,m,31,946,6.85,NA,NA,3,5,NA,NA,CriticalNW,Complex,2,BA
towerly,tower,NW,ly,Crepaldi,L,m,9,1180,7.07,NA,NA,5,7,NA,NA,CriticalNW,Complex,2,BA
shootment,shoot,NW,ment,Crepaldi,L,m,23,1828,7.51,NA,NA,5,9,NA,NA,CriticalNW,Complex,2,BA
longness,long,NW,ness,Crepaldi,L,m,59,19076,9.86,NA,NA,4,8,NA,NA,CriticalNW,Complex,2,BA
classous,class,NW,ous,Crepaldi,L,m,29,6216,8.73,NA,NA,5,8,NA,NA,CriticalNW,Complex,2,BA
smoothful,smooth,NW,ful,Graves,L,m,12,1042,6.95,NA,NA,6,9,NA,NA,CriticalNW,Complex,2,BA
growist,grow,NW,ic,Graves,L,m,14,8545,9.05,NA,NA,4,7,NA,NA,CriticalNW,Complex,2,BA
 dressory,dress,NW,ory,Graves,L,m,33,3885,8.26,NA,NA,5,9,NA,NA,CriticalNW,Complex,2,BA
criticance,critic,NW,ize,Rastle,L,m,11,2720,7.91,NA,NA,6,10,NA,NA,CriticalNW,Complex,2,BA
valider,valid,NW,er,RastleFiller,L,m,13,618,6.43,NA,NA,5,7,NA,NA,CriticalNW,Complex,2,BA
blooder,blood,NW,er,RastleFiller,L,m,53,3988,8.29,NA,NA,5,7,NA,NA,CriticalNW,Complex,2,BA
bearist,bear,NW,ist,RastleFiller,L,m,30,2626,7.87,NA,NA,4,7,NA,NA,CriticalNW,Complex,2,BA
FLIRT,FLIRT,W,NA,FORD,s,Z,6,155,5.04,22,3.09,5,5,1258.25,879,FillerW,NA,2,BA
WEIRD,WEIRD,W,NA,FORD,s,Z,4,157,5.06,125,4.83,5,5,557.75,505,FillerW,NA,2,BA
BALD,BALD,W,NA,FORD,s,Z,6,202,5.31,146,4.98,4,4,1390,1038,FillerW,NA,2,BA
BLUNT,BLUNT,W,NA,FORD,s,Z,4,218,5.38,109,4.69,5,5,1658.75,1059,FillerW,NA,2,BA
BLEAK,BLEAK,W,NA,FORD,s,Z,2,217,5.38,186,5.23,5,5,1685.5,942,FillerW,NA,2,BA
SLIM,SLIM,W,NA,FORD,s,Z,6,270,5.60,195,5.27,4,4,1354.67,604,FillerW,NA,2,BA
PREACH,PREACH,W,NA,RastleFiller,s,Z,3,287,5.66,64,4.16,6,6,2136.4,2345,FillerW,NA,2,BA
BRISK,BRISK,W,NA,FORD,s,Z,3,334,5.81,146,4.98,5,5,1608.5,1155,FillerW,NA,2,BA
LEAK,LEAK,W,NA,RastleFiller,s,Z,6,338,5.82,131,4.88,4,4,1854,1054,FillerW,NA,2,BA
